"id","provider_name","street_address","city","county","state","zipcode","phone_number","service_type"
"1","Cardinal Fence & Supply Inc","1025 Industrial Dr.","Bensenville","DUPAGE","IL","60106","(630) 860-5188","Adaptive Equipment/Assitive Technology Services"
"2","Covered in Comfort LLC","13960 S King Rd","Homer Glen","Will","IL","60491","(708) 732-5297","Adaptive Equipment/Assitive Technology Services"
"3","All American Acess & Mobility","102 E DeYoung St Ste A","Marion","Williamson","IL","62959","(618) 889-6171","Adaptive Equipment/Assitive Technology Services"
"4","TEC lab (a division of Trinity Services)","101 Hempstead Place","Joliet","Will","IL","60433","(779) 702-5499","Adaptive Equipment/Assitive Technology Services"
"5","101 Mobility - Naperville","1701 Quincy Ave","Naperville","DUPAGE","IL","60540","(630) 524-0015","Adaptive Equipment/Assitive Technology Services"
"6","Stegle Plumbing","2165 Boyd Rd","Anna","Union","IL","62906","(618) 833-0247","Adaptive Equipment/Assitive Technology Services"
"7","America's Backyard","1909 S Briggs St","Joliet","Will","IL","60433","(815) 834-1200","Adaptive Equipment/Assitive Technology Services"
"8","Active Visions Inc","5408 W DEVON AVE","Chicago","Cook","IL","60646","(773) 594-0921","Adaptive Equipment/Assitive Technology Services"
"9","Johnson Controls Fire Protection","686 High Point Ln","EAST PEORIA","Tazewell","IL","61611","(309) 229-2212","Adaptive Equipment/Assitive Technology Services"
"10","L and K Fire Protection Inc","1501 E Main St","Marion","Williamson","IL","62959","(618) 993-3977","Adaptive Equipment/Assitive Technology Services"
"11","Enspivation LLC","5646 FERNWOOD CT","Matteson","Cook","IL","60443","(773) 603-8667","Adaptive Equipment/Assitive Technology Services"
"12","Fessi INC","2401 S 14th St","Mattoon","Coles","IL","61938","(217) 234-2777","Adaptive Equipment/Assitive Technology Services"
"13","Promise Mobility LLC","4700 Happy Ln","Arnold","","MO","63010","(314) 200-3855","Adaptive Equipment/Assitive Technology Services"
"14","F.E. Moran, Inc. Fire Protection","2165 Shermer Rd","Northbrook","Cook","IL","60062","(847) 498-4870","Adaptive Equipment/Assitive Technology Services"
"15","MapHabit, Inc.","75 5th St NW Ste 2240","Atlanta","","GA","30308","(404) 666-9341","Adaptive Equipment/Assitive Technology Services"
"16","Autism Community Store","14095 E Exposition Ave","Aurora","","CO","80012","(303) 309-3647","Adaptive Equipment/Assitive Technology Services"
"17","NuToys Leisure Products Inc.","915 W Hillgrove Ave","La Grange","Cook","IL","60525","(708) 579-9055","Adaptive Equipment/Assitive Technology Services"
"18","Assisted Transportation Systems","238 Development Dr","Columbia","","KY","42728","(270) 384-2220","Adaptive Equipment/Assitive Technology Services"
"19","Rest Assured, LLC","180 Professional Ct","Lafayette","","IN","47905","(877) 338-9193","Adaptive Equipment/Assitive Technology Services"
"20","Especial Needs","1850 Borman Ct","Saint Louis","","MO","63146","(877) 664-4565","Adaptive Equipment/Assitive Technology Services"
"21","United Access LLC","9389 Natural Bridge Rd","Saint Louis","","MO","63134","(314) 989-1010","Adaptive Equipment/Assitive Technology Services"
"22","Tech Electronics Inc","6437 Manchester Ave","Saint Louis","","MO","63139","(314) 645-6200","Adaptive Equipment/Assitive Technology Services"
"23","U.S. Jaclean, Inc.","849 N Church Ct.","Elmhurst","DUPAGE","IL","60126","(630) 777-8079","Adaptive Equipment/Assitive Technology Services"
"24","Lehman Plumbing Inc","11203 N Maher Rd","Brimfield","Peoria","IL","61517","(309) 303-5799","Adaptive Equipment/Assitive Technology Services"
"25","Metropolitan Fire Protection, Inc.","175 Gordon St","Elk Grove Village","Cook","IL","60007","(847) 758-9820","Adaptive Equipment/Assitive Technology Services"
"26","F E Moran Inc Fire Protection","818 N Main St","Morton","Tazewell","IL","61550","(309) 266-9778","Adaptive Equipment/Assitive Technology Services"
"27","Access Elevator Inc","42 Congress Cir W","Roselle","DUPAGE","IL","60172","(414) 758-2891","Adaptive Equipment/Assitive Technology Services"
"28","Superior Van & Mobility","3414 Interstate Dr","Evansville","","IN","47715","(812) 402-8267","Adaptive Equipment/Assitive Technology Services"
"29","Fun and Function","304 Old Lancaster Rd","Merion Sta","","PA","19066","(800) 231-6329","Adaptive Equipment/Assitive Technology Services"
"30","Gray Matters Alliance","112 W Pitman St","O'Fallon","St Charles","IL","63366","(314) 266-2678","Adaptive Equipment/Assitive Technology Services"
"31","European Service at Home Inc","520 N Hicks Rd","Palatine","Cook","IL","60067","(847) 202-1249 x304","Adaptive Equipment/Assitive Technology Services"
"32","AMS Auto, Inc","1340 Cobblestone Way","Woodstock","McHenry","IL","60098","(815) 527-7297","Adaptive Equipment/Assitive Technology Services"
"33","Assistive Solutions","93R Compark Rd,","Centerville,","","OH","45459","(419) 673-7450","Adaptive Equipment/Assitive Technology Services"
"34","Custom Van Conversions & Mobility","3720 Oakton St, Skokie","Skokie","Cook","Il","60076","(847) 933-9517","Adaptive Equipment/Assitive Technology Services"
"35","Sherman Dodge","7601 SKOKIE BLVD","Skokie","Cook","IL","60077","(847) 982-9500","Adaptive Equipment/Assitive Technology Services"
"36","Illinois Home Solutions of America, Inc.","3410 N Main St","EAST PEORIA","Tazewell","IL","61611","(309) 444-3444","Adaptive Equipment/Assitive Technology Services"
"37","101 Mobility - St. Louis","4025 S Old Highway 94 Ste T","Saint Charles","","MO","63304","(636) 447-1414","Adaptive Equipment/Assitive Technology Services"
"38","Ramp Roll Inc","5032 Bent Tree Ct","Rockford","Winnebago","IL","61114","(815) 282-5277","Adaptive Equipment/Assitive Technology Services"
"39","Ada Total Access, Inc","125 THUNDERBIRD LN STE 5","EAST PEORIA","Tazewell","IL","61611","(309) 698-9290","Adaptive Equipment/Assitive Technology Services"
"40","ProMax Construction","141 W Main St","Decatur","Macon","IL","62523","(217) 424-8900","Adaptive Equipment/Assitive Technology Services"
"41","CNC Medical Equipment Inc","1814 Glenview Rd","Glenview","Cook","IL","60025","(847) 724-8380","Adaptive Equipment/Assitive Technology Services"
"42","Healthcom, Inc","1600 W Jackson St","Sullivan","Moultrie","IL","61951","(800) 525-6237","Adaptive Equipment/Assitive Technology Services"
"43","Purple Ribbon Mobility","410 E Taylor St Ste K1","Griffin","","GA","30223","(678) 572-4410","Adaptive Equipment/Assitive Technology Services"
"44","Southern Bus and Mobility","12950 KOCH LN, P.O. Box 37","Breese","Clinton","IL","62230","(618) 526-4131","Adaptive Equipment/Assitive Technology Services"
"45","Express Kitchen and Bath","9500 W Manhattan Monee Rd","Frankfort","Will","IL","60423","(815) 469-4500","Adaptive Equipment/Assitive Technology Services"
"46","CCM Champaign County Mobility","1508 W Anthony Dr","Champaign","","IL","61821","(217) 359-5800","Adaptive Equipment/Assitive Technology Services"
"47","Kalander Enterprises","921 N Martin Dr,","PALATINE,","Cook","IL","60067","(847) 991-6330","Adaptive Equipment/Assitive Technology Services"
"48","Lifeline Systems Incorporated","111 LAWRENCE ST","Framingham","","MA","1702","(800) 451-0525","Adaptive Equipment/Assitive Technology Services"
"49","Envision Unlimited","8 S Michigan Ave Ste 1700","Chicago","Cook","IL","60603","(312) 565-4875","Adaptive Equipment/Assitive Technology Services"
"50","Flaghouse","601 Flaghouse Dr","Hasbrouck Heights","","NJ","7604","(800) 793-7900","Adaptive Equipment/Assitive Technology Services"
"51","Frank Zanotti Tile & Stone Co","6 Walker Ave","Highwood","Lake","IL","60040","(847) 433-3636","Adaptive Equipment/Assitive Technology Services"
"52","Lab Construction Inc","17334 W Westwind Dr","Gurnee","Lake","IL","60031","(847) 269-1974","Adaptive Equipment/Assitive Technology Services"
"53","Independent Living Solutions","6327 N PULASKI RD","Chicago","COOK","IL","60646","(773) 478-8450","Adaptive Equipment/Assitive Technology Services"
"54","Extended Home Living Services, Inc.","210 W Campus Dr Ste B","ARLINGTON HEIGHTS","Cook","IL","60004","(847) 215-9490","Adaptive Equipment/Assitive Technology Services"
"55","Creating Opportunities","1837 W CENTRAL RD","ARLINGTON HEIGHTS","Cook","IL","60005","(847) 385-5004","Adaptive Equipment/Assitive Technology Services"
"56","Tech Electronics of Illinois","417 Olympia Dr","Bloomington","McLean","IL","61704","(309) 874-2700","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"57","Craftsmen/Access Unlimited","570 Hance Rd","Binghamton","","NY","13903","(607) 669-4822","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"58","Beck's Home Health Care","1411 Locust St","Eldorado","Saline","IL","62930","(618) 273-9019","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"59","Pietros Remodeling Services Inc","413 Clifton Ln","Bollingbrook","Will","IL","60440","(312) 451-3369","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"60","Simplisafe, Inc","294 Washington St Fl 9","Boston","","MA","2108","(617) 208-4020","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"61","Central States Automatic Spring","13740 California Ave","Blue Island","Cook","IL","60406","(708) 489-9400","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"62","Iossi Construction, Inc.","1040 W 4th St","Davenport","","IA","52802","(563) 344-0053","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"63","Fox Valley Fire & Safety","2730 Pinnacle Dr","Elgin","Kane","IL","60124","(847) 695-5990","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"64","TFH (USA) Ltd","4537 Gibsonia Rd","Gibsonia","","PA","15044","(724) 444-6400","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"65","Personal Mobility","2924 N Dirksen Pkwy","Springfield","Sangamon","IL","62702","(217) 241-1548","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"66","DreamMaker Bath & Kitchen","3730 Wabash Ave,","Springfield","Sangamon","IL","62711","(217) 529-9300","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"67","Flooring of Springfield","2205 Wabash Ave Ste 102","Springfield","Sangamon","IL","62704","(217) 725-1138","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"68","The Bike Rack","2930 Campton Hills Dr","St Charles","Kane","IL","60175","(630) 584-6588","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"69","Fox Valley Home Services","204 S 13th Ave","St Charles","Kane","IL","60174","(630) 940-8781","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
